speaker,script,position1,function1,position2,function2,match,agreement,corpus
*RICH:,So they,,,,,,,sbcsae
,they tell,,,,,,,sbcsae
*RICH:,I don't tell em I call or nothing,,,,,,,sbcsae
*RICH:,You know,,,,,,,sbcsae
,and uh,,,,,,,sbcsae
,And I sent her flowers last week,,,,,,,sbcsae
,I sent her flowers to work,,,,,,,sbcsae
*FRED:,Yeah ,,,,,,,sbcsae
*RICH:,The day before I moved out,,,,,,,sbcsae
*FRED:,,,,,,,,sbcsae
*RICH:,Jus t to tell her I was sorry about everything that had happened,,,,,,,sbcsae
,and that uh,,,,,,,sbcsae
,you know I hope we could remain friends,,,,,,,sbcsae
,and that God brings us back together,,,,,,,sbcsae
,if it was meant to be,,,,,,,sbcsae
*FRED:,Yeah,,,,,,,sbcsae
*RICH:,And she was real happy about this,,,,,,,sbcsae
*RICH:,She said that really meant a lot to me,,,,,,,sbcsae
*RICH:,You know,,,,,,,sbcsae
,That you did send me flowers,,,,,,,sbcsae
,and uh,,,,,,,sbcsae
*FRED:,And then,,,,,,,sbcsae
*FRED:,Then the,,,,,,,sbcsae
,and what you wrote,,,,,,,sbcsae
*RICH:,Yeah,,,,,,,sbcsae
,exactly,,,,,,,sbcsae
*RICH:,Cause she knew it came from my heart,,,,,,,sbcsae
,no matter what,,,,,,,sbcsae
,I'd put her through and everything,,,,,,,sbcsae
,she knows deep down inside,,,,,,,sbcsae
,I really did love her,,,,,,,sbcsae
,but I had a problem or something,UI,T1,UI,T1,MATCH,T1,sbcsae
*FRED:,Yeah,,,,,,,sbcsae
*FRED:,You had to get something out of your system,,,,,,,sbcsae
*RICH:,And,,,,,,,sbcsae
,Yeah,,,,,,,sbcsae
*RICH:,But I don't even know what it is in fact,UI,I1,UI,I1,MATCH,I1,sbcsae
*RICH:,I might have to go to therapy or something,,,,,,,sbcsae
,to find out,,,,,,,sbcsae
*FRED:,,,,,,,,sbcsae
,,,,,,,,sbcsae
*RICH:,Because there's no,,,,,,,sbcsae
*RICH:,There's no way I,,,,,,,sbcsae
,I should,,,,,,,sbcsae
*FRED:,,,,,,,,sbcsae
*RICH:,you know,,,,,,,sbcsae
*FRED:,You should be like this,,,,,,,sbcsae
*RICH:,Exactly,,,,,,,sbcsae
*FRED:,,,,,,,,sbcsae
*RICH:,I mean an,,,,,,,sbcsae
*RICH:,People say you,,,,,,,sbcsae
*FRED:,,,,,,,,sbcsae
*RICH:,you act out of uh,,,,,,,sbcsae
,it's okay,,,,,,,sbcsae
,most men do look at other women,,,,,,,sbcsae
,and uh,,,,,,,sbcsae
,you know,,,,,,,sbcsae
,things go through their mind and everything,,,,,,,sbcsae
,but that I'm impulsive,UI,T1,UI,T4,UNMATCH,T4,sbcsae
*RICH:,I'd act on my impulse,,,,,,,sbcsae
*FRED:,Yeah,,,,,,,sbcsae
*RICH:,Like I'd see something,,,,,,,sbcsae
,I'd want it,,,,,,,sbcsae
,and I'd go after her,,,,,,,sbcsae
,where I,,,,,,,sbcsae
,w I had a beautiful woman,,,,,,,sbcsae
,I shouldn't have thought like that at all,,,,,,,sbcsae
*FRED:,Yeah,,,,,,,sbcsae
*RICH:,This what a lady told me that,,,,,,,sbcsae
,that was a therapist,,,,,,,sbcsae
*RICH:,She said she was gonna get me somebody to go talk to and everything,,,,,,,sbcsae
*RICH:,She said it po,,,,,,,sbcsae
*RICH:,Ma,,,,,,,sbcsae
*RICH:,possibily was I was uh,,,,,,,sbcsae
,not satisfied with myself,,,,,,,sbcsae
*RICH:,I wasn't happy with myself for some reason,,,,,,,sbcsae
,and that I just acted out of impulse,,,,,,,sbcsae
*FRED:,Yeah,,,,,,,sbcsae
*RICH:,,,,,,,,sbcsae
*FRED:,Wow,,,,,,,sbcsae
*RICH:,So,,,,,,,sbcsae
,I don't know,,,,,,,sbcsae
*RICH:,i it is a problem,,,,,,,sbcsae
,because I,,,,,,,sbcsae
,uh I I did have a nice old lady and um,,,,,,,sbcsae
,Kind of miss her and everything,,,,,,,sbcsae
*FRED:,,,,,,,,sbcsae
*RICH:,It's lonely coming home after putting in t twelve hours on the lot,,,,,,,sbcsae
*RICH:,And working all day and,,,,,,,sbcsae
,you know,,,,,,,sbcsae
,working all evening,,,,,,,sbcsae
,and then you don't have anybody to come home and share it with,,,,,,,sbcsae
*FRED:,Yeah,,,,,,,sbcsae
*FRED:,Y are y,,,,,,,sbcsae
*FRED:,Are you working twelve hours,,,,,,,sbcsae
*FRED:,You're gonna be,,,,,,,sbcsae
*RICH:,Yeah,,,,,,,sbcsae
*FRED:,You're gonna be do ing that,,,,,,,sbcsae
*RICH:,Yeah,,,,,,,sbcsae
*FRED:,Nine to nine,,,,,,,sbcsae
*RICH:,Definitely,,,,,,,sbcsae
*RICH:,Nine to nine,,,,,,,sbcsae
*RICH:,Well I mean,,,,,,,sbcsae
,If I want,,,,,,,sbcsae
*RICH:,That's a,,,,,,,sbcsae
*RICH:,That's up to me,,,,,,,sbcsae
*FRED:,Yeah,,,,,,,sbcsae
*RICH:,Basically,,,,,,,sbcsae
,you know,,,,,,,sbcsae
,they're gonna give us a shift,,,,,,,sbcsae
*RICH:,Either,,,,,,,sbcsae
,nine in the morning,,,,,,,sbcsae
,to three in the afternoon,,,,,,,sbcsae
,or,,,,,,,sbcsae
,or th,,,,,,,sbcsae
,two in the afternoon,,,,,,,sbcsae
,to nine in the evening,,,,,,,sbcsae
*RICH:,See,,,,,,,sbcsae
*FRED:,Unhunh,,,,,,,sbcsae
*RICH:,So if I wanted to come in before two,,,,,,,sbcsae
,if I was on the,,,,,,,sbcsae
,the evening shift,,,,,,,sbcsae
,I would come in at nine,,,,,,,sbcsae
,and work nine to nine,,,,,,,sbcsae
*RICH:,If I was on the evening shift,,,,,,,sbcsae
,from two to nine,,,,,,,sbcsae
,I could come in and work from nine to nine,,,,,,,sbcsae
*FRED:,So,,,,,,,sbcsae
,um,,,,,,,sbcsae
,when you went last week,,,,,,,sbcsae
,and you applied right,,,,,,,sbcsae
*RICH:,Mhm,,,,,,,sbcsae
*FRED:,they,,,,,,,sbcsae
,they hired you,,,,,,,sbcsae
*RICH:,Right on the spot,,,,,,,sbcsae
*FRED:,Right on the spot,,,,,,,sbcsae
*RICH:,He gave me interview,,,,,,,sbcsae
,he talked to me,,,,,,,sbcsae
,told me why I wanted to get into sales,,,,,,,sbcsae
,and if,,,,,,,sbcsae
,if I felt I could sell,,,,,,,sbcsae
,if I had any experience,,,,,,,sbcsae
,and everything and,,,,,,,sbcsae
*FRED:,You told him about all the cars,,,,,,,sbcsae
,that you had owned and sold,,,,,,,sbcsae
*RICH:,Yeah,,,,,,,sbcsae
,I told him that I had done,,,,,,,sbcsae
*FRED:,C y sh you sh,,,,,,,sbcsae
*RICH:,so sold cars all through my early years,,,,,,,sbcsae
,but it was private party,UI,T4,UI,T1,UNMATCH,T4,sbcsae
*FRED:,f uh you've had you,,,,,,,sbcsae
*FRED:,You've had about,,,,,,,sbcsae
,like thirty cars,,,,,,,sbcsae
*RICH:,At least,,,,,,,sbcsae
*FRED:,hunh,,,,,,,sbcsae
*RICH:,yeah,,,,,,,sbcsae
*RICH:,At least,,,,,,,sbcsae
*FRED:,At least thirty cars,,,,,,,sbcsae
*RICH:,So I have some type of experience selling,,,,,,,sbcsae
,dealing with people,,,,,,,sbcsae
*FRED:,You know about cars,,,,,,,sbcsae
*RICH:,handling the money,,,,,,,sbcsae
,and uh,,,,,,,sbcsae
,the only thing it is,,,,,,,sbcsae
,th I have to work on,,,,,,,sbcsae
,is doing the paperwork,,,,,,,sbcsae
*RICH:,Is uh,,,,,,,sbcsae
,filling out a contract,,,,,,,sbcsae
,and uh,,,,,,,sbcsae
,basically paperwork,,,,,,,sbcsae
,which is f very simple,,,,,,,sbcsae
*RICH:,That,,,,,,,sbcsae
,you know,,,,,,,sbcsae
,once it comes along with experience,,,,,,,sbcsae
,and the more people I work with,,,,,,,sbcsae
,the easier it will,,,,,,,sbcsae
,it'll be,,,,,,,sbcsae
,that's the most important thing and,,,,,,,sbcsae
,and selling them the car,,,,,,,sbcsae
,talking to somebody in,,,,,,,sbcsae
,to buying a car,,,,,,,sbcsae
,that doesn't wanna buy,,,,,,,sbcsae
*RICH:,Tha that's there to look,,,,,,,sbcsae
*FRED:,Yeah,,,,,,,sbcsae
*RICH:,But yet,TI,T1,TI,T1,MATCH,T1,sbcsae
,wouldn't mind owning a new car,,,,,,,sbcsae
*FRED:,That's right,,,,,,,sbcsae
*RICH:,And you've gotta talk em into it,,,,,,,sbcsae
,you gotta sell it to em,,,,,,,sbcsae
*RICH:,You know,,,,,,,sbcsae
*RICH:,You gotta em in your office,,,,,,,sbcsae
,and you gotta sell that car to em,,,,,,,sbcsae
*RICH:,You can't let em leave without that sale,,,,,,,sbcsae
