@Begin,Script,Position1,Function1,Position2,Function2,MATCH,AGREEMENT
*ALIC:,                                       ⌊ So you ⌋ went from New Orleans to New York ? ,,,,,,
*FRAN:,(..) Yeah . ,,,,,,
*FRAN:,Oh that I did years ago . ,,,,,,
*FRAN:,(..) That I did . ,,,,,,
*ALIC:,(..) But it's the new . ,TI,T4,TI,T4,MATCH,
*ALIC:,That (..) part ⌈ XXXX ⌉ . ,,,,,,
*FRAN:,               ⌊ God knows ,,,,,,
,s- ⌋ nineteen si- sixty something . ,,,,,,
*FRAN:,(.) Sixty-three . ,,,,,,
*FRAN:,(..) Thirty ⌈ years ago ⌉ . ,,,,,,
*ALIC:,            ⌊ So you've lived ⌋ in New York all this time ? ,,,,,,
*FRAN:,Mhm ? ,,,,,,
*FRAN:,(.) Thirty years . ,,,,,,
*FRAN:,Except ,,,,,,
,&=in I did take ⌈ five years off ⌉ . ,,,,,,
*BERN:,                ⌊ &=laugh &=laugh (.) &=laugh &=laugh ⌋ &=laugh &=laugh . ,,,,,,
*ALIC:,&{l=HI Thirty years ⌈2 in New ⌉2 York &}l=HI ? ,,,,,,
*BERN:,                    ⌊2 &=laugh &=in ⌋2 . ,,,,,,
*FRAN:,Yeah . ,,,,,,
*ALIC:,Wow . ,,,,,,
*FRAN:,(..) I did take five years off . ,,,,,,
*FRAN:,(.) I went to: uh: ,,,,,,
,(..) Florida ,,,,,,
,which was a terrible mistake . ,,,,,,
*FRAN:,(..) We needed a vacation ,,,,,,
,and we accidentally moved instead . ,,,,,,
*ALIC:,Oh: . ,,,,,,
*FRAN:,(.) And then ,,,,,,
,we realized that ,,,,,,
,(..) Well [% laugh] ,,,,,,
,&{l=@ The first year we were there ,,,,,,
,we visited New York six times ,,,,,,
,and we looked at each other and said &}l=@ . ,,,,,,
*BERN:,&=laugh &=laugh &=laugh . ,,,,,,
*FRAN:,(.) &{l=VOX God ,,,,,,
,we certainly do go back up there a lot ,,,,,,
,what do you think that's about &}l=VOX . ,,,,,,
*FRAN:,You know ,,,,,,
,and we were just getting increasingly bored down there and ,,,,,,
,&=in you know ,,,,,,
,(.) you- (.) get (.) occupied (.) fixing up a house ,,,,,,
,and that's kinda fu:n ,,,,,,
,and the⌈n ⌉ . ,,,,,,
*ALIC:,       ⌊ Wh⌋ere in Florida were you . ,,,,,,
*FRAN:,(..) On the Gulf Coast ,,,,,,
,Fort Myers Beach . ,,,,,,
*FRAN:,We had a nice house ,,,,,,
,right on the sea⌈: ⌉ . ,,,,,,
